Debt,GR,DPD,LP,Payments
1029,2378,1425,3182,794
4492,3560,623,2953,3179
4484,2529,1055,2827,1106
3743,2846,678,2744,2432
1358,3383,1063,1184,1822
3908,1084,889,1263,2155
236,385,2742,2717,963
5032,2180,1044,3170,2484
2179,1056,1335,1188,1129
9534,1463,670,,
2452,1721,574,,
1626,2001,2904,,
5364,3425,607,,
3813,903,1243,,
9888,1346,1624,,
5209,3613,1717,,
7618,3230,573,,
2708,2588,2234,511,1830
1839,3088,1062,2669,1731
8290,366,2752,933,623
8595,1979,635,3007,3190
211,1933,715,2599,1251
3556,2980,2086,1116,1585
406,3218,1519,875,2085
8188,1686,1233,2004,2641
3764,2115,2162,515,685
3916,3011,1835,642,2319
9965,1607,869,1374,2749
310,3160,2229,2246,1259
7054,2316,1076,1687,1312
8578,1996,2717,2596,1203
8957,2322,1920,3168,2258
4989,1400,2643,2114,2290
161,2525,1400,3146,1671
2631,3562,901,3312,775
646,1012,917,2955,1358
1693,685,892,,
2547,1141,2038,,
4094,3515,537,,
1007,2999,2642,,
1077,2970,2300,,
2461,1456,1000,,
3802,2329,2973,,
4637,2836,782,,
505,1851,2146,,
8995,678,826,,
5871,3213,971,,
2416,3461,2316,,
6961,1229,1044,,
7867,1663,1107,2812,1995
4325,2893,1393,1670,2375
8526,1676,1363,2459,1158
5768,2764,2286,1116,1690
4919,1211,1444,952,1606
2969,978,854,1721,1613
8965,2762,809,1566,917
9735,3228,1728,1707,1871
2738,3600,2306,649,2436
6780,453,637,696,949
199,2762,523,1498,1932
5032,3316,1020,862,2849
7204,2469,2011,946,876
2499,1988,2073,1800,2792
1439,3042,2397,1237,1397
4088,2314,694,2966,1591
8459,2364,598,2307,1466
3478,1677,2749,2416,2040
4315,1666,1718,1345,2237
7443,2986,929,1236,1307
2509,3514,1844,1140,1280
5071,2568,1792,1393,1182
1470,3321,2772,1882,2868
722,3300,2346,2026,2208
1926,3578,1247,995,2154
1510,372,953,2336,874
7900,1619,662,2075,2052
1214,3577,2711,2201,2565
3444,2450,1604,2442,726
1053,3629,2979,,
7104,1673,1242,,
9360,820,2360,,
5488,2712,2748,,
8860,1952,2064,,
1051,2226,1401,,
7478,1700,599,,
7544,3353,1618,,
4626,1308,2301,,
6143,2166,944,,
7287,2738,1673,,
7330,723,1951,,
7145,2979,1107,,
1346,960,1233,1181,1310
238,1153,1454,2170,764
3930,410,1667,829,787
6032,2060,937,2911,1403
3404,2277,1454,1843,1832
7285,3569,662,1351,1778
6898,1742,1905,3101,2731
1609,1259,1332,2876,2458
7130,3637,1030,2769,3029
6502,570,1643,2888,808
5820,1706,2863,1009,1291
2665,3515,578,2128,699
1240,1963,1889,2310,2895
9723,3527,2750,885,2598
3303,2567,806,879,2432
2281,2693,1795,1748,2301
6036,2506,575,1425,1206
2739,579,2058,1327,1162
4124,933,718,964,1917
9918,2276,2663,2350,822
3448,2660,602,1543,1034
6228,2116,2605,3054,1701
3371,562,1631,1263,3188
7242,730,2429,1443,779
667,368,1178,1450,2557
759,601,2459,1203,2039
8425,2740,1593,1710,3165
2303,2203,1495,1578,3122
584,690,2893,856,959
1352,1160,2642,3043,1646
3160,470,1583,1279,2769
2103,744,903,2699,1118
3619,2918,1404,1203,3018
5398,557,946,1767,2370
4965,417,2578,,
7561,1374,2029,,
3006,766,1207,,
8257,3595,1846,,
7264,1743,1378,,
3233,374,767,824,2184
5192,943,1520,2622,2259
3157,1961,2120,2245,2742
3447,3427,1873,1140,1630
1270,3596,1710,1556,859
1590,1974,1882,1065,1686
5175,2881,1324,2882,727
9111,1467,2818,1342,1124
3259,1472,1020,1046,3100
7817,818,2120,2907,1917
7928,2368,2194,1479,953
7705,1265,789,815,2369
9143,642,1986,3347,779
8303,2482,1672,2512,935
6024,2089,595,2671,1647
9977,1123,1870,3311,2930
1077,1917,986,1250,1915
2509,3115,1603,632,1784
4696,2807,523,1776,2440
4719,691,736,793,2668
807,2764,2537,566,2815
805,920,1778,1010,2097
2415,2068,2531,605,1188
1013,1470,2419,767,1999
9668,3251,1069,2739,2061
5415,3209,2468,890,2882
7983,2464,548,1137,1166
1165,759,2968,1437,1820
6097,2782,2433,2609,844
8256,1906,1113,1462,3162
8691,2612,1878,1594,2911
6229,907,2820,2860,2867
7653,3415,1033,1155,2841
7793,3340,2106,2542,2423
8273,558,2854,2623,1566
2914,1796,2305,2995,1318
7188,2798,688,,
8783,2073,2159,,
6160,1063,965,,
4573,665,2652,,
5163,1793,1723,1310,3068
6036,3181,832,1676,1443
6480,2637,1805,1287,2384
1940,979,2039,2174,1004
7418,3185,2675,862,2251
565,868,1503,924,1390
9374,1817,2700,2834,3011
4857,1509,556,3279,1769
5418,2188,2530,1447,1987
3314,2280,1652,2715,3103
7732,3010,2886,692,1995
1550,3368,2983,1345,2563
4410,1052,1743,2484,2296
6265,3173,1982,2290,1497
1154,1662,2359,2360,920
8950,3311,739,1831,2628
1707,3528,1056,2367,1937
5615,743,1420,2358,603
4249,3620,546,2096,2313
1478,3091,768,1711,2907
1292,2340,2509,1087,1508
3128,3424,1811,2544,653
2345,2608,1043,991,720
1496,3421,1584,3105,3049
5248,3342,1995,1381,2013
9202,1208,850,913,1170
9606,1475,1088,3345,1427
2075,3297,1871,3169,1869
9914,1901,662,3337,1491
3894,3061,1492,2275,694
7636,3006,2231,2741,2461
2840,715,2406,2608,942
4125,2430,549,1350,2223
7214,3260,1946,1657,996
1824,3372,2307,1190,1453
4832,815,2089,526,2882
6608,1799,1743,1195,1826
9442,3165,782,,
915,1474,2186,,
351,558,1133,,
4940,2672,2483,,
248,2242,828,,
7847,3108,614,918,997
4455,1613,1349,909,1602
5462,2490,1473,2253,1790
2310,680,1408,631,3170
4804,2719,2716,1433,864
720,504,2318,2489,2590
3115,1061,2133,597,1005
2027,2025,1189,1634,2515
5576,881,691,2988,989
9211,1284,2277,1672,2953
1474,2203,2874,3333,845
1857,2931,675,979,635
3890,2933,2152,2610,1903
9678,2441,1296,3273,848
6745,2156,2655,1219,2596
7695,1422,2760,1820,1815
1278,3155,1459,1092,2179
3650,2690,1099,1078,2129
8403,1109,1074,1747,2609
8971,760,1084,1573,1599
9329,591,1125,1727,1700
1929,3307,1277,1055,628
5101,532,2595,789,2882
1203,2743,2278,3064,2075
133,3235,2614,2834,2465
4052,3592,1857,2856,1411
1135,3145,1871,1029,1693
1887,2302,2075,3094,1666
3209,796,2507,1793,850
8861,942,1161,1203,1019
1767,559,2376,2129,2808
600,2664,2946,2295,2194
7623,905,639,2725,2512
7267,3289,2304,1751,839
8400,2688,2425,1234,2208
3488,446,2950,3261,2998
7249,1410,1616,2253,732
5391,1109,2806,1441,1116
